fsm, mapping, replan, sfc, mpc, df, total, 
3.244e-06, 0, 0, 0, 0.000351694, 1.675e-06, 0.000356947, 
2.969e-06, 0, 0, 0, 0.000365463, 2.205e-06, 0.000370999, 
1.883e-06, 0, 0, 0, 0.000290609, 1.316e-06, 0.000293984, 
1.634e-06, 0.0155215, 0, 0, 0.000259909, 1.319e-06, 0.000263177, 
3.026e-06, 0, 0, 0, 0.000283888, 1.1644e-05, 0.000298918, 
2.811e-06, 0, 0, 0, 0.000391465, 1.967e-06, 0.000396564, 
4.023e-06, 0, 0, 0, 0.000512383, 1.7006e-05, 0.00053434, 
3.367e-06, 0, 0, 0, 0.000555705, 3.068e-06, 0.000562608, 
2.482e-06, 0, 0, 0, 0.000427851, 1.918e-06, 0.000432704, 
1.976e-06, 0, 0, 0, 0.000370747, 1.394e-06, 0.000374507, 
2.555e-06, 0, 0, 0, 0.000354564, 1.488e-06, 0.000359164, 
